
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 021
--------------------------------------------
1 | Ball Receipt | 21:56 | Álvaro Borja Morata Martín | Incomplete | [50.0, 25.3] | Center Forward | England | N/A  
2 | Pass | 21:54 | Rodrigo Hernández Cascante | Incomplete | [36.7, 32.5] | Right Defensive Midfield | Álvaro Borja Morata Martín | N/A  
3 | Ball Receipt | 21:54 | Harry Kane | Incomplete | [84.9, 50.1] | Center Forward | England | N/A  
4 | Ball Receipt | 21:58 | Phil Foden | Incomplete | [85.4, 47.4] | Center Attacking Midfield | England | N/A  
5 | Ball Receipt | 21:00 | Phil Foden | Incomplete | [23.8, 76.0] | Center Attacking Midfield | England | N/A  
6 | Pressure | 21:01 | Marc Cucurella Saseta | N/A | [92.8, 5.3] | Left Back | England | N/A  
7 | Foul Committed | 21:01 | Marc Cucurella Saseta | N/A | [98.3, 6.5] | Left Back | England | N/A  
8 | Duel | 21:56 | Álvaro Borja Morata Martín | Aerial Lost | [50.8, 26.7] | Center Forward | England | N/A  
9 | Foul Won | 21:01 | Phil Foden | N/A | [21.8, 73.6] | Center Attacking Midfield | England | N/A  
10 | Pass | 21:48 | Jordan Pickford | Incomplete | [20.1, 72.5] | Goalkeeper | Harry Kane | N/A  
11 | Pass | 21:56 | John Stones | Incomplete | [69.3, 53.4] | Right Center Back | Phil Foden | N/A  
12 | Ball Receipt | 21:52 | Harry Kane | Incomplete | [88.7, 51.6] | Center Forward | England | N/A  
13 | Duel | 21:52 | Harry Kane | Aerial Lost | [88.0, 50.3] | Center Forward | England | N/A  
14 | Pass | 21:52 | Aymeric Laporte | Incomplete | [32.1, 29.8] | Left Center Back | Daniel Olmo Carvajal | N/A  
15 | Ball Receipt | 21:54 | Daniel Olmo Carvajal | Incomplete | [43.3, 29.2] | Center Attacking Midfield | England | N/A  
16 | Duel | 21:54 | Daniel Olmo Carvajal | Aerial Lost | [43.7, 30.2] | Center Attacking Midfield | England | N/A  
17 | Pass | 21:00 | Bukayo Saka | N/A | [19.2, 71.7] | Right Wing | Phil Foden | N/A  
18 | Pass | 21:58 | Robin Aime Robert Le Normand | Incomplete | [33.5, 34.3] | Right Center Back | Daniel Olmo Carvajal | N/A  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 022
--------------------------------------------
22 | ball receipt | 00:22 | Álvaro Borja Morata Martín | received ball | Center Forward | 51.3, 23.6 | Spain | - | 
22 | pressure | 00:22 | Phil Foden | applied pressure | Center Attacking Midfield | 20.9, 23.8 | England | - | 
